N,scheme,L1_error
128,Compact6,0.07743034746964957
160,Compact6,0.05581461642608556
192,Compact6,0.03290247643000033
224,Compact6,0.016931264089864635
256,Compact6,0.008742875263033766
288,Compact6,0.00440430815583951
320,Compact6,0.002341659257907637
352,Compact6,0.0012924170381394698
384,Compact6,0.0007578452500330495
416,Compact6,0.0004667050003846426
448,Compact6,0.00029855736297701587
480,Compact6,0.00019779678401108923
512,Compact6,0.00013447032475320158
544,Compact6,9.40886007757918e-05
576,Compact6,6.716478960801357e-05
608,Compact6,4.8853618973841496e-05
640,Compact6,3.609821195672616e-05
672,Compact6,2.7188316998269646e-05
704,Compact6,2.078683447107706e-05
736,Compact6,1.6066077769364585e-05
768,Compact6,1.2581396770068413e-05
800,Compact6,9.970572703489888e-06
832,Compact6,7.965548932885794e-06
864,Compact6,6.4353823096264515e-06
896,Compact6,5.2405642084186825e-06
928,Compact6,4.303491410385605e-06
960,Compact6,3.5631629579481228e-06
992,Compact6,2.9663527276132144e-06
1024,Compact6,2.4870207501123676e-06
